Ticker
MMM
ACE
AES
AFL
GAS
AME
T
ABBV
ABT
ACN
ATVI
ADBE
AAP
AET
AMG
A
APD
ARG
AKAM
AA
ALXN
ALLE
AGN
ADS
ALL
GOOGL
GOOG
MO
AMZN
AEE
AAL
AEP
AXP
AIG
AMT
AMP
ABC
AMGN
APH
APC
ADI
ANTM
AON
APA
AIV
AAPL
AMAT
ADM
AIZ
AN
AZO
ADSK
ADP
AVGO
AVB
AVY
BBT
BHI
BLL
BAC
BCR
BXLT
BAX
BDX
BBBY
BRK.B
BBY
BIIB
BLK
HRB
BA
BWA
BXP
BSX
BMY
BRCM
BF.B
CA
CBG
CBS
CF
CHRW
CME
CMS
CNX
CSRA
CSX
CVS
CVC
COG
CAM
CPB
COF
CAH
KMX
CCL
CAT
CELG
CNP
CTL
CERN
CHK
CVX
CMG
CB
CHD
CI
XEC
CINF
CTAS
CSCO
C
CTXS
CLX
COH
KO
CCE
CTSH
CL
CPGX
CMCSA
CMA
CAG
COP
ED
STZ
GLW
COST
CCI
CMI
DTE
DVA
DHR
DRI
DE
DLPH
DAL
XRAY
DVN
DO
DFS
DISCA
DISCK
DG
DLTR
D
DOV
DOW
DPS
DUK
DNB
ETFC
DD
EMC
EOG
EQT
EMN
ETN
ECL
EIX
EW
EA
EMR
ENDP
ESV
ETR
EFX
EQIX
EQR
ESS
EL
ES
EXC
EXPE
EXPD
ESRX
XOM
FFIV
FLIR
FMC
FTI
FB
FAST
FDX
FIS
FITB
FSLR
FE
FISV
FLS
FLR
F
FOSL
BEN
FCX
FTR
GME
GPS
GRMN
GD
GE
GGP
GIS
GM
GPC
GILD
GS
GT
GWW
HCA
HCP
HPQ
HAL
HBI
HOG
HAR
HRS
HIG
HAS
HP
HSY
HES
HPE
HD
HON
HRL
DHI
HST
HUM
JBHT
HBAN
ITW
ILMN
IR
INTC
ICE
IPG
IBM
IFF
IP
INTU
ISRG
IVZ
IRM
JPM
JEC
JNJ
JCI
JNPR
KLAC
KSU
K
GMCR
KEY
KMB
KIM
KMI
KSS
KR
LB
LLL
LH
LRCX
LM
LEG
LEN
LUK
LVLT
LLY
LNC
LLTC
LMT
L
LOW
LYB
MTB
MAC
M
MNK
MRO
MPC
MAR
MMC
MLM
MAS
MA
MAT
MKC
MCD
MHFI
MCK
MJN
MDT
MRK
MET
KORS
MCHP
MU
MSFT
MHK
TAP
MDLZ
MON
MNST
MCO
MS
MOS
MSI
MUR
MYL
NKE
NRG
NDAQ
NOV
NAVI
NTAP
NFLX
NWL
NFX
NEM
NWSA
NWS
NEE
NLSN
NI
NBL
JWN
NSC
NTRS
NOC
NUE
NVDA
ORLY
OKE
OXY
OMC
ORCL
OI
PCAR
PCG
PNC
PPG
PPL
PVH
PH
PDCO
PYPL
PAYX
PNR
PBCT
POM
PEP
PKI
PRGO
PFE
PM
PSX
PNW
PXD
PBI
PCL
PX
PCP
PFG
PLD
PG
PGR
PRU
PEG
PSA
PHM
QCOM
QRVO
PWR
DGX
RL
RRC
RTN
O
RHT
REGN
RF
RSG
RAI
RHI
ROK
COL
ROP
ROST
RCL
R
SCG
SLG
CRM
SNDK
HSIC
SLB
SCHW
SNI
STX
SEE
SRE
SHW
SIG
SPG
SWKS
SJM
SNA
SO
LUV
SWN
SE
STJ
SWK
SPLS
SBUX
HOT
STT
SRCL
SYK
STI
SYMC
SYF
SYY
TROW
TEL
TE
TGNA
TJX
TGT
THC
TDC
TSO
TXN
TXT
ADT
BK
KHC
PCLN
WMB
TMO
TIF
TWC
TWX
TMK
TSS
TSCO
RIG
TRV
TRIP
FOXA
FOX
TYC
TSN
USB
UA
UNP
UAL
UPS
URI
UTX
UNH
UHS
UNM
URBN
VFC
VLO
VAR
VTR
VRSN
VRSK
VZ
VRTX
VIAB
V
VNO
VMC
WEC
WMT
WBA
DIS
WM
WAT
WFC
HCN
WRK
WDC
WU
WY
WHR
WFM
WYN
WYNN
XL
XEL
XRX
XLNX
XYL
YHOO
YUM
ZBH
ZION
ZTS
EBAY
